Name;SKU;ASIN;FBA stock;ROI,%;January 2024;;;;;Totals;;;;
;;;;;Sales;Quantity;Net profit;Refunds;% Refunds;Sales;Quantity;Refunds;% Refunds;Budget
SmellWell - Scented Shoe Deodorizer Inserts - Odor Eliminators - Activated Bamboo Charcoal + Minerals - Natural Freshenes for shoes, bags, gloves - 2 x 1.8oz Original Size Camo Green;G2-8BYT-BTMD;B07VYVYYRX;0;-111;8,207.65;637;-1,627.67;6;0.94;8,207.65;637;6;0.94;
SmellWell - Scented Shoe Deodorizer Inserts - Odor Eliminators - Activated Bamboo Charcoal + Minerals - Natural Freshenes for shoes, bags, gloves - 2 x 1.8oz Original Size Black Zebra;HW-L5A0-F1BN;B07P15RVRP;953;119;3,597.45;281;782.85;5;1.78;3,597.45;281;5;1.78;
SmellWell - Scented Shoe Deodorizer Inserts - Odor Eliminators - Activated Bamboo Charcoal + Minerals - Natural Freshenes for shoes, bags, gloves - 2 x 1.8oz Original Size Pink Zebra;72-51XS-IH64;B07VYVYPBW;0;-61;2,095.25;163;-228.53;3;1.84;2,095.25;163;3;1.84;
SmellWell - Scented Shoe Deodorizer Inserts - Odor Eliminators - Activated Bamboo Charcoal + Minerals - Natural Freshenes for shoes, bags, gloves - 2 x 1.8oz Original Size Geometric Orange;1516;B07W43Q5VL;171;189;1,709.40;132;583.73;0;0.00;1,709.40;132;0;0.00;
SmellWell - 3-Pack Scented Shoe Deodorizer Inserts - Odor Eliminators - Activated Bamboo Charcoal + Minerals - Natural Freshenes for shoes, bags, gloves - 6 x 1.8oz Original Size Camo Green;1510-3;B0BXPGVPD2;0;111;1,168.05;39;303.95;0;0.00;1,168.05;39;0;0.00;
SmellWell - 3-Pack Scented Shoe Deodorizer Inserts - Odor Eliminators - Activated Bamboo Charcoal + Minerals - Natural Freshenes for Shoes, Bags, Gloves - 6 x 1.8oz Original Size Black Zebra;1514-3;B09739J698;0;62;718.80;25;113.57;1;4.00;718.80;25;1;4.00;
SmellWell Freshener Bag - Black - The Ultimate Shoebag With Built In Activated Bamboo Charcoal Inserts for Odor Eliminating and Moisture Absorbing - Keep shoes and smaller gear fresh longer;6009;B09FVML51L;0;145;274.45;11;115.22;0;0.00;274.45;11;0;0.00;
SmellWell Freshener Bag - Blue - The Ultimate Shoebag With Built In Activated Bamboo Charcoal Inserts for Odor Eliminating and Moisture Absorbing - Keep shoes and smaller gear fresh longer;6010;B09FVNGXCS;0;-102;199.60;8;-58.95;0;0.00;199.60;8;0;0.00;
SmellWell - 3-Pack Scented Shoe Deodorizer Inserts - Odor Eliminators - Activated Bamboo Charcoal + Minerals - Natural Freshenes for shoes, bags, gloves - 6 x 1.8oz Original Size Hawaii Floral;1509-3;B097393QB6;53;-35;119.80;4;-9.88;0;0.00;119.80;4;0;0.00;
SmellWell Odour Eliminating Air Purifying Bags (2 Pack | 250g) Activated Bamboo Charcoal Air Freshener for use from Gym to Car to Home (Black Stone, XL);2511;B07P3FHFTF;0;72;107.70;6;17.82;1;16.67;107.70;6;1;16.67;
SmellWell Freshener Bag - Hawaii Floral - The Ultimate Shoebag With Built In Activated Bamboo Charcoal Inserts for Odor Eliminating and Moisture Absorbing - Keep shoes and smaller gear fresh longer;6013;B09FVN87PX;0;49;74.85;3;10.62;1;33.33;74.85;3;1;33.33;
SmellWell Freshener Bag XL - Black - The Ultimate Shoebag With Built In Activated Bamboo Charcoal Inserts for Odor Eliminating and Moisture Absorbing - Keep shoes and gear fresh longer;6109;B09FVFKGT7;0;-30;34.95;1;-2.72;0;0.00;34.95;1;0;0.00;
SmellWell - Scented Shoe Deodorizer Inserts - Odor Eliminators - Activated Bamboo Charcoal + Minerals - Natural Freshenes for shoes, bags, gloves - 2 x 1.8oz Original Size Hawaii Floral;RX-EN0R-CPO2;B07VZW1YK6;150;280;25.90;2;19.69;0;0.00;25.90;2;0;0.00;
SmellWell Freshener Bag - Pink - The Ultimate Shoebag With Built In Activated Bamboo Charcoal Inserts for Odor Eliminating and Moisture Absorbing - Keep shoes and smaller gear fresh longer;6011;B09FVLL86F;0;113;24.95;1;8.13;0;0.00;24.95;1;0;0.00;
SmellWell - XL Scented Shoe Deodorizer Inserts - Odor Eliminators - Activated Bamboo Charcoal + Minerals - Natural Freshener Inserts for Shoes, Boots, Bags, Cars - 2 x 4.4oz XL Size Camo Grey;4X-K06O-8IQX;B07VXS6L9F;0;85;17.95;1;3.51;0;0.00;17.95;1;0;0.00;
SmellWell - Scented Shoe Deodorizer Inserts - Odor Eliminators - Activated Bamboo Charcoal + Minerals - Natural Freshenes for Shoes, Bags, Gloves - 2 x 1.8oz Original Size Hawaii Floral;FBA178QC24LL.MISSING1;B07N789J5K;0;0;0.00;0;-3.71;0;0.00;0.00;0;0;0.00;
SmellWell - Scented Shoe Deodorizer Inserts - Odor Eliminators - Activated Bamboo Charcoal + Minerals - Natural Freshenes for shoes, bags, gloves - 2 x 1.8oz Original Size Camo Green;FBA178QC24LL.MISSING2;B07P3FHFT7;0;0;0.00;0;-67.14;0;0.00;0.00;0;0;0.00;
SmellWell Odour Eliminating Air Purifying Bags (2 Pack | 250g) Activated Bamboo Charcoal Air Freshener for use from Gym to Car to Home (Black Stone, XL);U6-M8SI-RQ6A;B07P3FHFTF;0;0;0.00;0;-2.92;0;0.00;0.00;0;0;0.00;
SmellWell - Scented Shoe Deodorizer Inserts - Odor Eliminators - Activated Bamboo Charcoal + Minerals - Natural Freshenes for shoes, bags, gloves - 2;HW-L5A0-F1BN;B07VWSMRBH;953;0;0.00;0;-4.54;0;0.00;0.00;0;0;0.00;
