Name;SKU;ASIN;FBA stock;ROI,%;March 2024;;;;;Totals;;;;
;;;;;Sales;Quantity;Net profit;Refunds;% Refunds;Sales;Quantity;Refunds;% Refunds;Budget
SmellWell - Scented Shoe Deodorizer Inserts - Odor Eliminators - Activated Bamboo Charcoal + Minerals - Natural Freshenes for shoes, bags, gloves - 2 x 1.8oz Original Size Camo Green;G2-8BYT-BTMD;B07VYVYYRX;0;-22;5,218.85;405;-211.11;9;2.22;5,218.85;405;9;2.22;
SmellWell - Scented Shoe Deodorizer Inserts - Odor Eliminators - Activated Bamboo Charcoal + Minerals - Natural Freshenes for shoes, bags, gloves - 2 x 1.8oz Original Size Black Zebra;1514-FBM;B07P15RVRP;0;91;3,738.75;285;605.98;1;0.35;3,738.75;285;1;0.35;
SmellWell - Scented Shoe Deodorizer Inserts - Odor Eliminators - Activated Bamboo Charcoal + Minerals - Natural Freshenes for shoes, bags, gloves - 2 x 1.8oz Original Size Pink Zebra;72-51XS-IH64;B07VYVYPBW;0;-5;1,592.85;123;-14.07;4;3.25;1,592.85;123;4;3.25;
SmellWell - 4-Pack Scented Shoe Deodorizer Inserts - Odor Eliminators - Activated Bamboo Charcoal + Minerals - Natural Freshenes for shoes, bags, gloves - 8 x 1.8oz Original Size Black Zebra;1514-4-FBM;B0CXJ1T6QJ;52;240;1,318.35;33;741.94;0;0.00;1,318.35;33;0;0.00;
SmellWell - 3-Pack Scented Shoe Deodorizer Inserts - Odor Eliminators - Activated Bamboo Charcoal + Minerals - Natural Freshenes for Shoes, Bags, Gloves - 6 x 1.8oz Original Size Black Zebra;1514-3-FBM;B09739J698;55;196;1,293.25;35;483.42;0;0.00;1,293.25;35;0;0.00;
SmellWell - Scented Shoe Deodorizer Inserts - Odor Eliminators - Activated Bamboo Charcoal + Minerals - Natural Freshenes for shoes, bags, gloves - 2 x 1.8oz Original Size Geometric Orange;1516;B07W43Q5VL;171;169;854.70;66;261.00;2;3.03;854.70;66;2;3.03;
SmellWell Freshener Bag - Black - The Ultimate Shoebag With Built In Activated Bamboo Charcoal Inserts for Odor Eliminating and Moisture Absorbing - Keep shoes and smaller gear fresh longer;6009;B09FVML51L;0;164;687.70;26;308.24;0;0.00;687.70;26;0;0.00;
SmellWell - Scented Shoe Deodorizer Inserts - Odor Eliminators - Activated Bamboo Charcoal + Minerals - Natural Freshenes for shoes, bags, gloves - 2 x 1.8oz Original Size Black Zebra;HW-L5A0-F1BN;B07P15RVRP;953;-23;388.50;30;-16.01;1;3.33;388.50;30;1;3.33;
SmellWell Freshener Bag - Blue - The Ultimate Shoebag With Built In Activated Bamboo Charcoal Inserts for Odor Eliminating and Moisture Absorbing - Keep shoes and smaller gear fresh longer;6010;B09FVNGXCS;0;172;177.65;7;87.02;0;0.00;177.65;7;0;0.00;
SmellWell - Scented Shoe Deodorizer Inserts - Odor Eliminators - Activated Bamboo Charcoal + Minerals - Natural Freshenes for shoes, bags, gloves - 2 x 1.8oz Original Size White Stripes;1521;B0BSLQQ95W;0;44;169.45;11;11.45;0;0.00;169.45;11;0;0.00;
SmellWell Freshener Bag XL - Blue - The Ultimate Shoebag With Built In Activated Bamboo Charcoal Inserts for Odor Eliminating and Moisture Absorbing - Keep shoes and gear fresh longer;6110-FBM;B09FVPY15K;11;199;104.85;3;54.78;0;0.00;104.85;3;0;0.00;
