SQP Data,,,,PPC Data,,,,,,,,Formula,Formula
KWs list (Insert Manually) ,Organic Rank,Total count of Purchases,KW CVR SQP,Impressions,Clicks,Spend,Total Sales,Total Orders,ASIN CTR PPC,ASIN CVR PPC,ACOS,ASIN CVR % Delta,Action = Our CVR vs KW CVR
smelling salts,247,3535,0.08311584491,0,0,$0.00,$0.00,0,0.00%,0.00%,0.00%,-100.00%,Pass
odor eaters for shoes,37,2812,20.35%,9878,32,$50.52,$129.50,8,0.32%,25.00%,39.01%,-17.63%,Pass
shoe odor elimination,66,2001,19.95%,8845,49,$64.98,$195.35,12,0.55%,24.49%,33.26%,-1.84%,Pass
shoe smell eliminator,39,1370,26.14%,2746,48,$78.75,$225.15,14,1.75%,29.17%,34.98%,11.24%,Target
shoe deodorizer balls,21,1284,22%,900,19,$14.33,$25.90,2,1.15%,22.22%,55.33%,0.35%,Target
sneaker balls deodorizers strong,15,850,36.42%,4085,30,$19.71,$175.80,4,0.86%,22.22%,31.28%,-15.90%,Pass
odor eaters,98,704,23.42%,849,25,$42.89,$77.70,6,2.94%,24.00%,55.20%,2.48%,Target
gym bag deodorizer,26,642,21.58%,5860,44,$58.75,$221.25,15,0.75%,34.09%,26.55%,57.98%,Target
deodorizer,132,502,16.69%,13,1,$1.20,$12.95,1,7.69%,100.00%,9.27%,499.00%,Target
stinky shoes odor eliminator,37,459,23.86%,1981,32,$48.40,$221.40,11,1.62%,34.38%,21.86%,44.09%,Target
shoe deodorizer insert,8,440,22.29%,10723,72,$97.18,$270.05,18,0.67%,25.00%,35.99%,12.16%,Good Ranking
odor eaters insoles for men,112,417,29.76%,199,11,$19.30,$38.85,2,5.53%,18.18%,49.68%,-38.91%,Pass
sneaker deodorizer,63,390,23.13%,1596,27,$39.14,$116.55,9,1.69%,33.33%,33.58%,44.10%,Target
shoe odor balls,93,371,22.71%,2472,12,$18.88,$0.00,0,0.49%,0.00%,0.00%,-100.00%,Pass
