Name;SKU;ASIN;FBA stock;ROI,%;February 2024;;;;;Totals;;;;
;;;;;Sales;Quantity;Net profit;Refunds;% Refunds;Sales;Quantity;Refunds;% Refunds;Budget
SmellWell - Scented Shoe Deodorizer Inserts - Odor Eliminators - Activated Bamboo Charcoal + Minerals - Natural Freshenes for shoes, bags, gloves - 2 x 1.8oz Original Size Camo Green;G2-8BYT-BTMD;B07VYVYYRX;0;-51;11,473.70;886;-1,092.56;6;0.68;11,473.70;886;6;0.68;
SmellWell - Scented Shoe Deodorizer Inserts - Odor Eliminators - Activated Bamboo Charcoal + Minerals - Natural Freshenes for shoes, bags, gloves - 2 x 1.8oz Original Size Pink Zebra;72-51XS-IH64;B07VYVYPBW;0;-20;4,286.45;331;-157.53;1;0.30;4,286.45;331;1;0.30;
SmellWell - Scented Shoe Deodorizer Inserts - Odor Eliminators - Activated Bamboo Charcoal + Minerals - Natural Freshenes for shoes, bags, gloves - 2 x 1.8oz Original Size Geometric Orange;1516;B07W43Q5VL;171;199;3,613.05;279;1,332.97;1;0.36;3,613.05;279;1;0.36;
SmellWell - Scented Shoe Deodorizer Inserts - Odor Eliminators - Activated Bamboo Charcoal + Minerals - Natural Freshenes for shoes, bags, gloves - 2 x 1.8oz Original Size Black Zebra;HW-L5A0-F1BN;B07P15RVRP;953;-4;168.35;13;-1.25;2;15.38;168.35;13;2;15.38;
SmellWell Freshener Bag - Black - The Ultimate Shoebag With Built In Activated Bamboo Charcoal Inserts for Odor Eliminating and Moisture Absorbing - Keep shoes and smaller gear fresh longer;6009;B09FVML51L;0;116;149.70;6;50.14;1;16.67;149.70;6;1;16.67;
SmellWell Freshener Bag - Blue - The Ultimate Shoebag With Built In Activated Bamboo Charcoal Inserts for Odor Eliminating and Moisture Absorbing - Keep shoes and smaller gear fresh longer;6010;B09FVNGXCS;0;-118;99.80;4;-34.17;1;25.00;99.80;4;1;25.00;
SmellWell - 3-Pack Scented Shoe Deodorizer Inserts - Odor Eliminators - Activated Bamboo Charcoal + Minerals - Natural Freshenes for Shoes, Bags, Gloves - 6 x 1.8oz Original Size Black Zebra;1514-3;B09739J698;0;80;89.85;3;16.93;2;66.67;89.85;3;2;66.67;
SmellWell - 3-Pack Scented Shoe Deodorizer Inserts - Odor Eliminators - Activated Bamboo Charcoal + Minerals - Natural Freshenes for shoes, bags, gloves - 6 x 1.8oz Original Size Camo Green;1510-3;B0BXPGVPD2;0;188;29.95;1;39.60;0;0.00;29.95;1;0;0.00;
SmellWell Freshener Bag - Orange - The Ultimate Shoebag With Built In Activated Bamboo Charcoal Inserts for Odor Eliminating and Moisture Absorbing - Keep shoes and smaller gear fresh longer;6012;B09FVKGRKC;0;-2,277;24.95;1;-164.19;0;0.00;24.95;1;0;0.00;
SmellWell - Scented Shoe Deodorizer Inserts - Odor Eliminators - Activated Bamboo Charcoal + Minerals - Natural Freshenes for shoes, bags, gloves - 2 x 1.8oz Original Size Hawaii Floral;RX-EN0R-CPO2;B07VZW1YK6;150;164;12.95;1;3.84;0;0.00;12.95;1;0;0.00;
SmellWell - Scented Shoe Deodorizer Inserts - Odor Eliminators - Activated Bamboo Charcoal + Minerals - Natural Freshenes for Shoes, Bags, Gloves - 2 x 1.8oz Original Size Hawaii Floral;FBA178QC24LL.MISSING1;B07N789J5K;0;0;0.00;0;-1.34;0;0.00;0.00;0;0;0.00;
SmellWell - Scented Shoe Deodorizer Inserts - Odor Eliminators - Activated Bamboo Charcoal + Minerals - Natural Freshenes for shoes, bags, gloves - 2 x 1.8oz Original Size Black Zebra;FBA178QC24LL.MISSING3;B07P15RVRP;953;-85;0.00;0;5.98;0;0.00;0.00;0;0;0.00;
SmellWell - Scented Shoe Deodorizer Inserts - Odor Eliminators - Activated Bamboo Charcoal + Minerals - Natural Freshenes for shoes, bags, gloves - 2 x 1.8oz Original Size Camo Green;FBA178QC24LL.MISSING2;B07P3FHFT7;0;0;0.00;0;-2.10;0;0.00;0.00;0;0;0.00;
SmellWell Odour Eliminating Air Purifying Bags (2 Pack | 250g) Activated Bamboo Charcoal Air Freshener for use from Gym to Car to Home (Black Stone, XL);2511;B07P3FHFTF;0;0;0.00;0;-0.01;0;0.00;0.00;0;0;0.00;
SmellWell - Scented Shoe Deodorizer Inserts - Odor Eliminators - Activated Bamboo Charcoal + Minerals - Natural Freshenes for shoes, bags, gloves - 2;HW-L5A0-F1BN;B07VWSMRBH;953;0;0.00;0;-1.66;0;0.00;0.00;0;0;0.00;
SmellWell - XL Scented Shoe Deodorizer Inserts - Odor Eliminators - Activated Bamboo Charcoal + Minerals - Natural Freshener Inserts for Shoes, Boots, Bags, Cars - 2 x 4.4oz XL Size Camo Grey;4X-K06O-8IQX;B07VXS6L9F;0;0;0.00;0;0.00;0;0.00;0.00;0;0;0.00;
SmellWell - XL Scented Shoe Deodorizer Inserts - Odor Eliminators - Activated Bamboo Charcoal + Minerals - Natural Freshener Inserts for Shoes, Boots, Bags, Cars - 2 x 4.4oz XL Size Silver Grey;BT-FOQ3-UXY1;B07W7LQYSZ;0;0;0.00;0;0.00;0;0.00;0.00;0;0;0.00;
SmellWell Freshener Bag XL - Black - The Ultimate Shoebag With Built In Activated Bamboo Charcoal Inserts for Odor Eliminating and Moisture Absorbing - Keep shoes and gear fresh longer;6109;B09FVFKGT7;0;0;0.00;0;0.00;0;0.00;0.00;0;0;0.00;
Totals;0.00;0.00;0.00;0.00;19,948.75;1,525;-5.35;14;0.92;19,948.75;1,525;14;0.92;17,924
